#           k/h    P           
 0.14134018E+00 0.28261692E+04
 0.14223506E+00 0.27843369E+04
 0.14312993E+00 0.27427761E+04
 0.14402479E+00 0.27015977E+04
 0.14491966E+00 0.26609058E+04
 0.14581454E+00 0.26208010E+04
 0.14670941E+00 0.25813784E+04
 0.14760429E+00 0.25427256E+04
 0.14849916E+00 0.25049246E+04
 0.14939404E+00 0.24680488E+04
 0.15028891E+00 0.24321646E+04
 0.15118378E+00 0.23973301E+04
 0.15207866E+00 0.23635955E+04
 0.15297353E+00 0.23310015E+04
 0.15386841E+00 0.22995825E+04
 0.15476328E+00 0.22693630E+04
 0.15565816E+00 0.22403594E+04
 0.15655303E+00 0.22125820E+04
 0.15744790E+00 0.21860305E+04
 0.15834278E+00 0.21606995E+04
 0.15923765E+00 0.21365757E+04
 0.16013253E+00 0.21136394E+04
 0.16102740E+00 0.20918633E+04
 0.16192228E+00 0.20712158E+04
 0.16281715E+00 0.20516587E+04
 0.16371202E+00 0.20331493E+04
 0.16460690E+00 0.20156399E+04
 0.16550177E+00 0.19990785E+04
 0.16639665E+00 0.19834098E+04
 0.16729152E+00 0.19685754E+04
 0.16818640E+00 0.19545140E+04
 0.16908127E+00 0.19411619E+04
 0.16997615E+00 0.19284539E+04
 0.17087100E+00 0.19163235E+04
 0.17176588E+00 0.19047041E+04
 0.17266075E+00 0.18935278E+04
 0.17355563E+00 0.18827283E+04
 0.17445050E+00 0.18722385E+04
 0.17534538E+00 0.18619934E+04
 0.17624025E+00 0.18519301E+04
 0.17713512E+00 0.18419871E+04
 0.17803000E+00 0.18321052E+04
 0.17892487E+00 0.18222290E+04
 0.17981975E+00 0.18123057E+04
 0.18071462E+00 0.18022866E+04
 0.18160950E+00 0.17921261E+04
 0.18250437E+00 0.17817833E+04
 0.18339925E+00 0.17712223E+04
 0.18429412E+00 0.17604102E+04
 0.18518899E+00 0.17493202E+04
 0.18608387E+00 0.17379297E+04
 0.18697874E+00 0.17262209E+04
 0.18787362E+00 0.17141809E+04
 0.18876849E+00 0.17018019E+04
 0.18966337E+00 0.16890798E+04
 0.19055824E+00 0.16760167E+04
 0.19145311E+00 0.16626179E+04
 0.19234799E+00 0.16488926E+04
 0.19324286E+00 0.16348556E+04
 0.19413774E+00 0.16205228E+04
 0.19503261E+00 0.16059160E+04
 0.19592749E+00 0.15910591E+04
 0.19682235E+00 0.15759778E+04
 0.19771722E+00 0.15607018E+04
 0.19861209E+00 0.15452610E+04
 0.19950697E+00 0.15296888E+04
 0.20040184E+00 0.15140178E+04
 0.20129672E+00 0.14982836E+04
 0.20219159E+00 0.14825205E+04
 0.20308647E+00 0.14667642E+04
 0.20398134E+00 0.14510486E+04
 0.20487621E+00 0.14354095E+04
 0.20577109E+00 0.14198798E+04
 0.20666596E+00 0.14044923E+04
 0.20756084E+00 0.13892787E+04
 0.20845571E+00 0.13742679E+04
 0.20935059E+00 0.13594884E+04
 0.21024546E+00 0.13449661E+04
 0.21301180E+00 0.13019421E+04
 0.21581456E+00 0.12616537E+04
 0.21865419E+00 0.12245856E+04
 0.22153117E+00 0.11910040E+04
 0.22444601E+00 0.11609418E+04
 0.22739920E+00 0.11342026E+04
 0.23039125E+00 0.11103799E+04
 0.23342268E+00 0.10888925E+04
 0.23649399E+00 0.10690352E+04
 0.23960570E+00 0.10500400E+04
 0.24275836E+00 0.10311470E+04
 0.24595250E+00 0.10116739E+04
 0.24918868E+00 0.99108435E+03
 0.25246742E+00 0.96904102E+03
 0.25578931E+00 0.94543518E+03
 0.25915492E+00 0.92039429E+03
 0.26256481E+00 0.89425690E+03
 0.26601955E+00 0.86752466E+03
 0.26951978E+00 0.84079437E+03
 0.27306601E+00 0.81468054E+03
 0.27665895E+00 0.78973865E+03
 0.28029916E+00 0.76639984E+03
 0.28398722E+00 0.74492468E+03
 0.28772387E+00 0.72537823E+03
 0.29150966E+00 0.70763177E+03
 0.29534525E+00 0.69138885E+03
 0.29923132E+00 0.67622992E+03
 0.30316851E+00 0.66167584E+03
 0.30715752E+00 0.64725616E+03
 0.31119901E+00 0.63257727E+03
 0.31529367E+00 0.61737762E+03
 0.31944221E+00 0.60156061E+03
 0.32364532E+00 0.58519971E+03
 0.32790375E+00 0.56851416E+03
 0.33221823E+00 0.55182056E+03
 0.33658946E+00 0.53546899E+03
 0.34101820E+00 0.51977820E+03
 0.34550521E+00 0.50497949E+03
 0.35005128E+00 0.49118088E+03
 0.35465714E+00 0.47835516E+03
 0.35932362E+00 0.46635577E+03
 0.36405149E+00 0.45495215E+03
 0.36884156E+00 0.44388086E+03
 0.37369469E+00 0.43290167E+03
 0.37861165E+00 0.42184332E+03
 0.38359332E+00 0.41063516E+03
 0.38864052E+00 0.39931110E+03
 0.39375412E+00 0.38799130E+03
 0.39893502E+00 0.37684421E+03
 0.40418410E+00 0.36603998E+03
 0.40950224E+00 0.35570715E+03
 0.41489035E+00 0.34590457E+03
 0.42034936E+00 0.33661212E+03
 0.42588019E+00 0.32774326E+03
 0.43148381E+00 0.31917380E+03
 0.43716112E+00 0.31077847E+03
 0.44291317E+00 0.30246420E+03
 0.44874090E+00 0.29419162E+03
 0.45464531E+00 0.28597849E+03
 0.46062738E+00 0.27788583E+03
 0.46668819E+00 0.26999188E+03
 0.47282872E+00 0.26236398E+03
 0.47905007E+00 0.25503676E+03
 0.48535326E+00 0.24800385E+03
 0.49173939E+00 0.24122418E+03
 0.49820957E+00 0.23463951E+03
 0.50476485E+00 0.22819559E+03
 0.51140642E+00 0.22185963E+03
 0.51813537E+00 0.21562764E+03
 0.52495283E+00 0.20951973E+03
 0.53185999E+00 0.20356721E+03
 0.53885806E+00 0.19779678E+03
 0.54594821E+00 0.19221904E+03
