#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.931082E-02   0.967280E+07   0.966350E+07   0.106939E+05   0.106939E+05   0.914614E+07   0.965492E+07   0.967124E+07   0.965493E+07  -0.445475E+00   0.834506E+07   0.834487E+07   0.587776E+01
   0.941485E-02   0.964065E+07   0.963115E+07   0.104237E+05   0.104236E+05   0.910771E+07   0.962254E+07   0.963905E+07   0.962255E+07  -0.443981E+00   0.831712E+07   0.831693E+07   0.592111E+01
   0.952004E-02   0.960948E+07   0.959980E+07   0.101612E+05   0.101612E+05   0.907262E+07   0.959122E+07   0.960785E+07   0.959123E+07  -0.442536E+00   0.829009E+07   0.828989E+07   0.596461E+01
   0.962641E-02   0.957680E+07   0.956692E+07   0.990365E+04   0.990361E+04   0.903359E+07   0.955831E+07   0.957514E+07   0.955832E+07  -0.441017E+00   0.826169E+07   0.826149E+07   0.600820E+01
   0.973396E-02   0.954384E+07   0.953377E+07   0.965219E+04   0.965215E+04   0.899427E+07   0.952512E+07   0.954215E+07   0.952513E+07  -0.439486E+00   0.823306E+07   0.823286E+07   0.605190E+01
   0.984272E-02   0.951061E+07   0.950034E+07   0.940672E+04   0.940669E+04   0.895465E+07   0.949166E+07   0.950889E+07   0.949167E+07  -0.437942E+00   0.820419E+07   0.820398E+07   0.609571E+01
   0.995270E-02   0.947711E+07   0.946663E+07   0.916712E+04   0.916708E+04   0.891472E+07   0.945793E+07   0.947535E+07   0.945793E+07  -0.436385E+00   0.817508E+07   0.817487E+07   0.613961E+01
   0.100639E-01   0.944333E+07   0.943265E+07   0.893323E+04   0.893319E+04   0.887450E+07   0.942391E+07   0.944153E+07   0.942392E+07  -0.434816E+00   0.814573E+07   0.814552E+07   0.618360E+01
   0.101763E-01   0.940927E+07   0.939838E+07   0.870494E+04   0.870490E+04   0.883398E+07   0.938962E+07   0.940744E+07   0.938963E+07  -0.433234E+00   0.811615E+07   0.811593E+07   0.622767E+01
   0.102900E-01   0.937494E+07   0.936384E+07   0.848212E+04   0.848208E+04   0.879316E+07   0.935505E+07   0.937307E+07   0.935506E+07  -0.431639E+00   0.808632E+07   0.808610E+07   0.627181E+01
   0.104050E-01   0.934033E+07   0.932901E+07   0.826463E+04   0.826460E+04   0.875204E+07   0.932021E+07   0.933843E+07   0.932021E+07  -0.430031E+00   0.805626E+07   0.805603E+07   0.631601E+01
   0.105213E-01   0.930545E+07   0.929390E+07   0.805237E+04   0.805234E+04   0.871062E+07   0.928508E+07   0.930351E+07   0.928509E+07  -0.428410E+00   0.802595E+07   0.802572E+07   0.636026E+01
   0.106388E-01   0.927028E+07   0.925852E+07   0.784521E+04   0.784518E+04   0.866891E+07   0.924968E+07   0.926831E+07   0.924969E+07  -0.426777E+00   0.799541E+07   0.799517E+07   0.640456E+01
   0.107577E-01   0.923484E+07   0.922285E+07   0.764303E+04   0.764300E+04   0.862690E+07   0.921400E+07   0.923283E+07   0.921400E+07  -0.425131E+00   0.796462E+07   0.796438E+07   0.644889E+01
   0.108779E-01   0.919913E+07   0.918690E+07   0.744572E+04   0.744569E+04   0.858460E+07   0.917804E+07   0.919707E+07   0.917804E+07  -0.423471E+00   0.793359E+07   0.793335E+07   0.649325E+01
   0.109994E-01   0.916313E+07   0.915067E+07   0.725317E+04   0.725314E+04   0.854200E+07   0.914180E+07   0.916104E+07   0.914181E+07  -0.421799E+00   0.790233E+07   0.790208E+07   0.653762E+01
   0.111223E-01   0.912686E+07   0.911415E+07   0.706527E+04   0.706524E+04   0.849910E+07   0.910528E+07   0.912472E+07   0.910529E+07  -0.420114E+00   0.787082E+07   0.787057E+07   0.658199E+01
   0.112466E-01   0.909031E+07   0.907736E+07   0.688191E+04   0.688188E+04   0.845592E+07   0.906849E+07   0.908813E+07   0.906849E+07  -0.418417E+00   0.783907E+07   0.783882E+07   0.662635E+01
   0.113723E-01   0.905348E+07   0.904028E+07   0.670299E+04   0.670296E+04   0.841244E+07   0.903141E+07   0.905126E+07   0.903141E+07  -0.416706E+00   0.780708E+07   0.780682E+07   0.667068E+01
