#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.882781E-02   0.160436E+08   0.160358E+08   0.531269E+03   0.804926E+04   0.130568E+08   0.160198E+08   0.160424E+08   0.160198E+08  -0.379714E+00   0.842384E+07   0.842377E+07   0.273743E+01
   0.892644E-02   0.159982E+08   0.159901E+08   0.120522E+04   0.820183E+04   0.129852E+08   0.159741E+08   0.159969E+08   0.159741E+08  -0.378631E+00   0.839988E+07   0.839981E+07   0.275818E+01
   0.902618E-02   0.159523E+08   0.159441E+08   0.154792E+04   0.811023E+04   0.129132E+08   0.159280E+08   0.159511E+08   0.159280E+08  -0.377539E+00   0.837572E+07   0.837564E+07   0.277900E+01
   0.912703E-02   0.159061E+08   0.158977E+08   0.121954E+04   0.769771E+04   0.128409E+08   0.158816E+08   0.159048E+08   0.158816E+08  -0.376438E+00   0.835135E+07   0.835127E+07   0.279991E+01
   0.922901E-02   0.158595E+08   0.158509E+08   0.362507E+03   0.716228E+04   0.127681E+08   0.158347E+08   0.158582E+08   0.158347E+08  -0.375327E+00   0.832677E+07   0.832669E+07   0.282089E+01
   0.933212E-02   0.158125E+08   0.158037E+08  -0.479554E+03   0.680941E+04   0.126950E+08   0.157875E+08   0.158111E+08   0.157875E+08  -0.374208E+00   0.830198E+07   0.830191E+07   0.284194E+01
   0.943639E-02   0.157650E+08   0.157561E+08  -0.768550E+03   0.678490E+04   0.126215E+08   0.157398E+08   0.157637E+08   0.157398E+08  -0.373078E+00   0.827699E+07   0.827691E+07   0.286307E+01
   0.954182E-02   0.157172E+08   0.157082E+08  -0.386241E+03   0.694243E+04   0.125476E+08   0.156918E+08   0.157158E+08   0.156918E+08  -0.371940E+00   0.825179E+07   0.825171E+07   0.288427E+01
   0.964844E-02   0.156690E+08   0.156598E+08   0.289636E+03   0.697435E+04   0.124733E+08   0.156433E+08   0.156676E+08   0.156433E+08  -0.370791E+00   0.822638E+07   0.822630E+07   0.290553E+01
   0.975624E-02   0.156204E+08   0.156110E+08   0.719496E+03   0.669713E+04   0.123987E+08   0.155945E+08   0.156189E+08   0.155945E+08  -0.369634E+00   0.820076E+07   0.820067E+07   0.292685E+01
   0.986524E-02   0.155714E+08   0.155618E+08   0.659775E+03   0.622721E+04   0.123237E+08   0.155452E+08   0.155699E+08   0.155452E+08  -0.368466E+00   0.817493E+07   0.817484E+07   0.294824E+01
   0.997547E-02   0.155220E+08   0.155121E+08   0.337539E+03   0.587052E+04   0.122484E+08   0.154956E+08   0.155204E+08   0.154956E+08  -0.367290E+00   0.814888E+07   0.814879E+07   0.296968E+01
   0.100869E-01   0.154721E+08   0.154621E+08   0.186976E+03   0.582077E+04   0.121728E+08   0.154455E+08   0.154706E+08   0.154455E+08  -0.366103E+00   0.812262E+07   0.812253E+07   0.299117E+01
   0.101996E-01   0.154219E+08   0.154117E+08   0.405400E+03   0.596264E+04   0.120968E+08   0.153951E+08   0.154203E+08   0.153951E+08  -0.364907E+00   0.809615E+07   0.809606E+07   0.301271E+01
   0.103136E-01   0.153712E+08   0.153608E+08   0.765096E+03   0.598823E+04   0.120205E+08   0.153442E+08   0.153696E+08   0.153442E+08  -0.363701E+00   0.806947E+07   0.806937E+07   0.303430E+01
   0.104288E-01   0.153202E+08   0.153096E+08   0.865383E+03   0.571964E+04   0.119439E+08   0.152929E+08   0.153186E+08   0.152929E+08  -0.362486E+00   0.804257E+07   0.804247E+07   0.305593E+01
   0.105453E-01   0.152687E+08   0.152579E+08   0.558058E+03   0.530069E+04   0.118669E+08   0.152412E+08   0.152671E+08   0.152412E+08  -0.361261E+00   0.801545E+07   0.801535E+07   0.307760E+01
   0.106632E-01   0.152168E+08   0.152058E+08   0.944658E+02   0.504152E+04   0.117897E+08   0.151891E+08   0.152151E+08   0.151891E+08  -0.360026E+00   0.798812E+07   0.798802E+07   0.309930E+01
   0.107823E-01   0.151646E+08   0.151533E+08  -0.158052E+03   0.507317E+04   0.117121E+08   0.151366E+08   0.151628E+08   0.151366E+08  -0.358781E+00   0.796057E+07   0.796047E+07   0.312102E+01
